id,score
1,3
2,4
4,4
5,3
6,4
10,3
23,4
26,5
27,3
33,2
35,3
45,3
46,4
48,4
49,4
52,4
54,4
58,4
66,4
79,4
82,2
83,3
92,4
94,3
95,3
96,2
98,2
101,4
118,5
124,5
142,3
143,2
147,3
148,2
163,4
173,4
178,2
186,4
192,4
264,3
269,4
282,2
310,6
322,2
354,0
357,5
361,3
368,3
381,4
383,1
384,1
408,4
413,3
420,1
422,3
429,5
431,4
435,4
436,5
437,0
444,2
457,4
459,4
462,3
472,2
480,0
487,3
488,0
490,2
494,4
499,1
513,3
517,3
519,2
531,2
541,2
552,2
556,2
562,2
564,5
569,5
573,4
590,1
595,4
596,3
612,3
620,4
626,2
647,4
652,5
654,3
660,5
667,3
675,2
688,4
690,3
716,5
724,3
735,5
746,6
748,4
751,4
752,4
770,3
788,5
789,3
793,3
797,3
806,2
808,1
809,3
810,4
816,4
823,3
835,5
838,5
839,4
847,1
855,2
869,0
892,4
894,2
898,3
900,2
905,3
906,3
907,5
917,4
926,5
943,5
953,3
955,4
963,0
964,0
969,4
978,3
995,4
1003,2
1009,3
1025,4
1035,3
1038,2
1054,2
1063,3
1072,5
1077,4
1095,4
1099,5
1112,4
1113,3
1126,2
1130,3
1135,5
1143,4
1146,2
1154,3
1156,4
1178,2
1185,3
1190,5
1201,4
1212,0
1220,3
1240,2
1253,5
1261,3
1274,2
1279,3
1283,4
1306,3
1322,4
1325,0
1359,2
1371,0
1382,4
1400,3
1421,2
1427,3
1452,3
1476,4
1501,3
1502,0
1512,4
1537,4
1539,1
1549,3
1567,1
1581,4
1584,4
1585,4
1601,4
1631,4
1643,3
1662,0
1686,2
1703,0
1714,3
1721,1
1736,3
1758,2
1768,4
1814,2
1840,4
1852,3
1874,3
1879,1
1896,2
1909,2
1924,3
1934,4
1940,3
1959,2
1986,2
1990,4
2001,5
2021,5
2033,3
2036,4
2039,2
2042,4
2052,0
2056,1
2072,2
2080,5
2085,2
2096,2
2101,2
2108,1
2113,4
2136,6
2147,1
2160,5
2166,2
2185,5
2200,0
2208,1
2210,1
2213,5
2231,3
2242,4
2259,2
2269,4
2282,4
2285,6
2291,5
2310,4
2317,2
2318,5
2322,5
2329,0
2336,4
2344,1
2347,4
2357,3
2366,5
2370,3
2386,1
2391,4
2402,5
2413,4
2419,3
2438,4
2439,4
2445,3
2449,2
2452,0
2458,2
2465,3
2467,4
2475,2
2482,3
2488,5
2501,2
2505,3
2511,5
2518,4
2526,3
2534,2
2547,5
2552,4
2558,5
2559,6
2562,6
2564,6
2569,6
2575,3
2579,2
2585,3
2595,2
2604,1
2611,3
2612,2
2623,4
2627,5
2632,2
2638,3
2644,1
2649,5
2653,4
2659,2
